target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	0.0	0.6255555555555555	0.6255555555555555	0.6255555555555555	0.6255555555555555
1000	Average Rating	Random	0.0	0.9725925925925926	0.9725925925925926	0.9725925925925926	0.9725925925925926
1000	Average Rating	kNN (full)	0.0	0.6233333333333333	0.6233333333333333	0.6233333333333333	0.6233333333333333
1000	Average Rating	Normalized kNN (full)	0.0	0.6751851851851852	0.6751851851851852	0.6751851851851852	0.6751851851851852
1000	Average Rating	kNN (test)	0.0	0.6403703703703704	0.6403703703703704	0.6403703703703704	0.6403703703703704
1000	Average Rating	Popularity	0.0	0.7351851851851852	0.7351851851851852	0.7351851851851852	0.7351851851851852
1000	Average Rating	iMF (full)	0.0	0.6098148148148148	0.6098148148148148	0.6098148148148148	0.6098148148148148
1000	Average Rating	Normalized kNN (test)	0.0	0.985	0.985	0.985	0.985
1000	iMF (test)	Random	0.0	0.6233333333333333	0.6233333333333333	0.6233333333333333	0.6233333333333333
1000	iMF (test)	kNN (full)	0.0	0.5562962962962963	0.5562962962962963	0.5562962962962963	0.5562962962962963
1000	iMF (test)	Normalized kNN (full)	0.0	0.5646296296296296	0.5646296296296296	0.5646296296296296	0.5646296296296296
1000	iMF (test)	kNN (test)	0.0	0.5598148148148148	0.5598148148148148	0.5598148148148148	0.5598148148148148
1000	iMF (test)	Popularity	0.0	0.5718518518518518	0.5718518518518518	0.5718518518518518	0.5718518518518518
1000	iMF (test)	iMF (full)	0.0	0.5642592592592592	0.5642592592592592	0.5642592592592592	0.5642592592592592
1000	iMF (test)	Normalized kNN (test)	0.0	0.6242592592592593	0.6242592592592593	0.6242592592592593	0.6242592592592593
1000	Random	kNN (full)	0.0	0.6214814814814815	0.6214814814814815	0.6214814814814815	0.6214814814814815
1000	Random	Normalized kNN (full)	0.0	0.6731481481481482	0.6731481481481482	0.6731481481481482	0.6731481481481482
1000	Random	kNN (test)	0.0	0.6385185185185185	0.6385185185185185	0.6385185185185185	0.6385185185185185
1000	Random	Popularity	0.0	0.7316666666666667	0.7316666666666667	0.7316666666666667	0.7316666666666667
1000	Random	iMF (full)	0.0	0.6088888888888889	0.6088888888888889	0.6088888888888889	0.6088888888888889
1000	Random	Normalized kNN (test)	0.0	0.9705555555555555	0.9705555555555555	0.9705555555555555	0.9705555555555555
1000	kNN (full)	Normalized kNN (full)	0.0	0.5935185185185186	0.5935185185185186	0.5935185185185186	0.5935185185185186
1000	kNN (full)	kNN (test)	0.0	0.5955555555555555	0.5955555555555555	0.5955555555555555	0.5955555555555555
1000	kNN (full)	Popularity	0.0	0.5987037037037037	0.5987037037037037	0.5987037037037037	0.5987037037037037
1000	kNN (full)	iMF (full)	0.0	0.5668518518518518	0.5668518518518518	0.5668518518518518	0.5668518518518518
1000	kNN (full)	Normalized kNN (test)	0.0	0.6212962962962963	0.6212962962962963	0.6212962962962963	0.6212962962962963
1000	Normalized kNN (full)	kNN (test)	0.0	0.5937037037037037	0.5937037037037037	0.5937037037037037	0.5937037037037037
1000	Normalized kNN (full)	Popularity	0.0	0.6153703703703703	0.6153703703703703	0.6153703703703703	0.6153703703703703
1000	Normalized kNN (full)	iMF (full)	0.0	0.565	0.565	0.565	0.565
1000	Normalized kNN (full)	Normalized kNN (test)	0.0	0.6737037037037037	0.6737037037037037	0.6737037037037037	0.6737037037037037
1000	kNN (test)	Popularity	0.0	0.6288888888888889	0.6288888888888889	0.6288888888888889	0.6288888888888889
1000	kNN (test)	iMF (full)	0.0	0.5724074074074074	0.5724074074074074	0.5724074074074074	0.5724074074074074
1000	kNN (test)	Normalized kNN (test)	0.0	0.6388888888888888	0.6388888888888888	0.6388888888888888	0.6388888888888888
1000	Popularity	iMF (full)	0.0	0.5742592592592592	0.5742592592592592	0.5742592592592592	0.5742592592592592
1000	Popularity	Normalized kNN (test)	0.0	0.7338888888888889	0.7338888888888889	0.7338888888888889	0.7338888888888889
1000	iMF (full)	Normalized kNN (test)	0.0	0.6085185185185186	0.6085185185185186	0.6085185185185186	0.6085185185185186
