target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
1000	kNN (k=90)	Normalized kNN (k=80, min=3)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	kNN (k=6000)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	Normalized kNN (k=2000, min=3)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=10, lambda=0.1, alpha=10.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	Normalized kNN (k=30, min=3)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=50, lambda=1.0, alpha=100.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	Normalized kNN (k=800, min=3)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	Normalized kNN (k=100, min=3)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	kNN (k=500)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	kNN (k=700)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	Normalized kNN (k=400, min=3)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=10, lambda=10.0, alpha=1.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	Normalized kNN (k=500, min=3)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=10, lambda=0.1, alpha=1.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=10, lambda=1.0, alpha=1.0)	NaN	NaN	NaN	NaN
1000	kNN (k=90)	iMF (k=10, lambda=10.0, alpha=100.0)	NaN	NaN	NaN	NaN
