====================
Dataset: yahoo
====================

P@10
Recommender	Full	Unbiased	Test
iMF (full)	0.05627777777777778	0.006670370370370371	0.17036666666666664
iMF (test)	0.052781481481481485	0.006677777777777778	0.17075925925925925
kNN (full)	0.05482222222222223	0.006511111111111112	0.16982222222222224
kNN (test)	0.051614814814814815	0.0045814814814814815	0.17004444444444444
Normalized kNN (full)	0.04344444444444445	0.005440740740740741	0.1684
Normalized kNN (test)	9.592592592592593E-4	0.0034222222222222223	0.17004444444444444
Average Rating	8.481481481481482E-4	0.0015925925925925927	0.16950740740740738
Popularity	0.03508148148148148	0.004277777777777778	0.16805185185185184
Random	0.0019074074074074076	8.814814814814817E-4	0.16673703703703704

Recall@10
Recommender	Full	Unbiased	Test
iMF (full)	0.23453982087435973	0.044483406819517936	0.6666623039533647
iMF (test)	0.22527703337138077	0.04441796002351558	0.6671174350156107
kNN (full)	0.22909079740171	0.04226791593180482	0.6656929905352809
kNN (test)	0.21718778843053183	0.029537904174015285	0.6664108790191603
Normalized kNN (full)	0.18499034049845858	0.03536159611992945	0.6622058008841284
Normalized kNN (test)	0.004105776229309294	0.021914021164021164	0.6662249770585257
Average Rating	0.003282202893273326	0.008868768371546149	0.6651907170710192
Popularity	0.14671235895634877	0.026213521457965905	0.6620386510592282
Random	0.006567148117659774	0.00449591416813639	0.6586728025667355

nDCG@10
Recommender	Full	Unbiased	Test
iMF (full)	0.16725431906774807	0.025125668949445772	0.5774948840630014
iMF (test)	0.1521378066795776	0.02503211565172126	0.5835394188923237
kNN (full)	0.16085276161182702	0.024227322789860048	0.5734733666117287
kNN (test)	0.15312198899877782	0.01747875948196904	0.5736512741074499
Normalized kNN (full)	0.11206568212329786	0.019362567550887416	0.5594326145651799
Normalized kNN (test)	0.0022365441505996075	0.014455952852066013	0.5810409703687921
Average Rating	0.0017553256116998848	0.003977236267848272	0.5738029278808916
Popularity	0.09325514664404641	0.0140270796536929	0.5513397001346664
Random	0.0040421383954478505	0.002384024326918896	0.532238523864759

FScore@10
Recommender	Full	Unbiased	Test
iMF (full)	0.08297610683333356	0.011177019950962161	0.24805528811948818
iMF (test)	0.07847221922834113	0.011174614121879343	0.24845053950279086
kNN (full)	0.0808661668920406	0.010833326767322297	0.24743456464976438
kNN (test)	0.07631176042183677	0.007610275487485671	0.24776178739238713
Normalized kNN (full)	0.06493000221153483	0.009059504506692328	0.24559189134257373
Normalized kNN (test)	0.0013594098559874962	0.005652593486219218	0.24774327165989019
Average Rating	0.0011884403629720522	0.002578981250438079	0.24714708100978813
Popularity	0.051745395502839096	0.007026904018785684	0.24539884443372548
Random	0.0025847510922064948	0.0013940170440600436	0.24366561909789985
