====================
Dataset: yahoo
====================

P@10
Recommender	Full	Test
iMF (full)	0.056737037037037044	0.1704222222222222
iMF (test)	0.052974074074074076	0.17075185185185188
kNN (full)	0.05482222222222223	0.16984444444444444
kNN (test)	0.051614814814814815	0.17004444444444444
Normalized kNN (full)	0.04345185185185185	0.16834814814814816
Normalized kNN (test)	9.592592592592593E-4	0.17004444444444447
Average Rating	8.481481481481482E-4	0.16950740740740738
Popularity	0.03508148148148148	0.16805185185185184
Random	0.0019555555555555554	0.16663703703703706

Recall@10
Recommender	Full	Test
iMF (full)	0.23682069962088695	0.6666909798257953
iMF (test)	0.22540045254131505	0.6671711273695091
kNN (full)	0.22909079740171007	0.6657015296299311
kNN (test)	0.21718778843053183	0.6664108790191603
Normalized kNN (full)	0.18498828288528985	0.6619331342189128
Normalized kNN (test)	0.004105776229309294	0.6662249770585258
Average Rating	0.003282202893273327	0.6651907170710192
Popularity	0.14671235895634877	0.6620386510592282
Random	0.0068747088203433586	0.6584182284210104

nDCG@10
Recommender	Full	Test
iMF (full)	0.16863122022880161	0.5771764767246514
iMF (test)	0.152633811359632	0.5831845741563166
kNN (full)	0.16085276161182702	0.5734659985170948
kNN (test)	0.15312198899877782	0.5736512741074499
Normalized kNN (full)	0.11206937826847888	0.558969628242601
Normalized kNN (test)	0.0022365441505996075	0.5810421752582926
Average Rating	0.0017553256116998848	0.5738029278808916
Popularity	0.09325514664404641	0.5513397001346664
Random	0.004324251554574714	0.5325488476462622

FScore@10
Recommender	Full	Test
iMF (full)	0.08367542992830593	0.24810153667688217
iMF (test)	0.07875141850034426	0.24846474929783885
kNN (full)	0.08086616689204061	0.24745970189610045
kNN (test)	0.07631176042183677	0.24776178739238713
Normalized kNN (full)	0.0649375808090257	0.24552291882750107
Normalized kNN (test)	0.0013594098559874962	0.24774327165989019
Average Rating	0.0011884403629720524	0.24714708100978813
Popularity	0.051745395502839096	0.24539884443372548
Random	0.002637184634659275	0.24351182148578351

